,match,day_of_week,date,hour,venue,referee,group,1,2,attendance,1_expected_goals,2_expected_goals,1_poss,2_poss,1_goals,2_goals,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_offsides,2_offsides,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_forced_turnovers,2_forced_turnovers,1_defensive_pressure_applied,2_defensive_pressure_applied,team1_completed_passes,team1_attempted_pases,team2_completed_passes,team2_attempted_pases,team1_shots_on_target,team2_shots_on_target,team1_total_shots,team2_total_shots,team1_saves,team2_saves,team1_fouls,team2_fouls,team1_corners,team2_corners,team1_crosses,team2_crosses,team1_tackles,team2_tackles,team1_interceptions,team2_interceptions,team1_aerials_won,team2_aerials_won,team1_clearances,team2_clearances,team1_offsides,team2_offsides,penalties scored team1,penalties scored team2,free kicks team1,free kicks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2
34,35,Tue,29-Nov-22,20:00,Ahmed bin Ali Stadium,Slavko Vincic,Group B,WALES,ENGLAND,44297,0.3,2.4,36,64,0,3,7,17,3,0,0,2,0,1,3,6,1,13,6,4,1,1,17,8,0,0,49,56,328,167,272.0,352.0,545.0,626.0,1.0,7.0,7.0,18.0,4.0,1.0,16.0,9.0,1.0,6.0,2.0,14.0,12.0,6.0,7.0,5.0,9.0,12.0,17.0,7.0,1.0,1.0,0.0,0.0,10.0,17.0,2.0,0.0,0.0,0.0
35,36,Tue,29-Nov-22,20:00,Al Thumama Stadium,Antonio Mateu Lahoz,Group B,IRAN,UNITED STATES,42127,0.4,1.2,49,51,0,1,6,12,1,0,0,1,0,0,4,4,5,8,1,4,2,1,13,6,0,0,63,74,295,302,385.0,508.0,417.0,524.0,0.0,5.0,4.0,12.0,4.0,0.0,14.0,10.0,1.0,5.0,16.0,20.0,22.0,12.0,12.0,5.0,18.0,18.0,18.0,21.0,2.0,1.0,0.0,0.0,11.0,15.0,3.0,1.0,0.0,0.0
36,37,Wed,30-Nov-22,16:00,Al Janoub Stadium,Mustapha Ghorbal,Group D,AUSTRALIA,DENMARK,41232,0.6,0.6,32,68,1,0,8,14,0,1,1,0,0,0,2,7,3,11,5,3,1,3,14,8,0,0,90,74,341,161,215.0,348.0,580.0,723.0,4.0,3.0,8.0,13.0,3.0,3.0,11.0,10.0,2.0,6.0,11.0,26.0,15.0,11.0,12.0,7.0,26.0,17.0,33.0,19.0,1.0,3.0,0.0,0.0,13.0,12.0,2.0,1.0,0.0,0.0
37,38,Wed,30-Nov-22,16:00,Education City Stadium,Matt Conger,Group D,TUNISIA,FRANCE,43627,0.5,0.8,35,65,1,0,5,9,0,1,0,0,1,0,2,4,2,4,3,5,3,2,11,6,0,0,68,80,400,202,272.0,368.0,573.0,676.0,3.0,3.0,5.0,10.0,3.0,2.0,14.0,6.0,7.0,8.0,23.0,19.0,22.0,37.0,9.0,13.0,9.0,13.0,23.0,21.0,3.0,2.0,0.0,0.0,8.0,17.0,1.0,0.0,0.0,0.0
38,39,Wed,30-Nov-22,20:00,Lusail Iconic Stadium,Michael Oliver,Group C,POLAND,ARGENTINA,84985,1.1,2.3,40,60,0,2,4,25,2,0,0,2,0,0,2,8,2,21,2,4,0,0,25,4,0,0,67,48,438,141,192.0,329.0,357.0,494.0,2.0,10.0,10.0,26.0,8.0,1.0,20.0,18.0,1.0,8.0,9.0,31.0,15.0,16.0,8.0,7.0,18.0,18.0,28.0,12.0,2.0,6.0,0.0,0.0,12.0,5.0,1.0,1.0,0.0,0.0
39,40,Wed,30-Nov-22,20:00,Stadium 974,Danny Makkelie,Group C,SAUDI ARABIA,MEXICO,44089,0.3,3.5,27,73,1,2,10,25,2,1,1,1,0,1,8,8,6,10,4,15,2,6,26,10,0,0,82,76,269,229,264.0,341.0,827.0,911.0,0.0,10.0,4.0,22.0,8.0,0.0,6.0,11.0,1.0,9.0,5.0,18.0,17.0,13.0,7.0,5.0,7.0,12.0,29.0,9.0,0.0,1.0,0.0,0.0,23.0,22.0,6.0,1.0,0.0,0.0
40,41,Thu,01-Dec-22,16:00,Al Thumama Stadium,Raphael Claus,Group F,CROATIA,BELGIUM,43102,1.4,0.5,58,42,0,0,11,15,0,0,0,0,0,0,5,7,7,12,4,3,4,0,16,11,0,0,70,68,328,346,480.0,573.0,309.0,404.0,0.0,2.0,5.0,6.0,0.0,0.0,14.0,14.0,6.0,2.0,19.0,8.0,13.0,23.0,7.0,12.0,10.0,7.0,8.0,22.0,4.0,4.0,0.0,0.0,9.0,11.0,0.0,1.0,0.0,0.0
41,42,Thu,01-Dec-22,16:00,Ahmed bin Ali Stadium,Anthony Taylor,Group F,CANADA,MOROCCO,43984,0.7,3.0,49,51,1,2,5,7,2,1,0,1,0,1,4,2,4,4,1,3,4,4,7,7,0,1,66,72,224,324,508.0,616.0,545.0,638.0,4.0,3.0,11.0,16.0,3.0,4.0,7.0,9.0,2.0,4.0,21.0,24.0,9.0,14.0,6.0,7.0,10.0,10.0,24.0,25.0,4.0,0.0,0.0,0.0,18.0,18.0,4.0,0.0,0.0,0.0
42,43,Thu,01-Dec-22,20:00,Khalifa International Stadium,Victor Gomes,Group E,JAPAN,SPAIN,44851,1.4,1.0,18,82,2,1,6,14,1,2,1,1,1,0,2,3,4,7,2,7,2,2,14,6,0,0,85,49,637,150,165.0,245.0,995.0,1106.0,3.0,5.0,6.0,12.0,4.0,1.0,9.0,6.0,0.0,2.0,2.0,22.0,11.0,11.0,17.0,3.0,10.0,9.0,26.0,5.0,2.0,2.0,0.0,0.0,8.0,11.0,3.0,0.0,0.0,0.0
43,44,Thu,01-Dec-22,20:00,Al Bayt Stadium,Stephanie Frappart,Group E,COSTA RICA,GERMANY,67054,1.3,5.7,32,68,2,4,8,32,4,2,2,4,0,0,1,17,6,24,2,8,4,3,32,8,0,0,79,77,378,230,274.0,372.0,672.0,773.0,6.0,11.0,8.0,32.0,7.0,4.0,3.0,9.0,1.0,14.0,11.0,32.0,21.0,10.0,8.0,5.0,12.0,9.0,45.0,8.0,4.0,3.0,0.0,0.0,12.0,7.0,1.0,0.0,0.0,0.0
